Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,LuaInterface,LuaClassType,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' klass' returnTypes
Duplicate Abstraction,LuaInterface,LuaClassType,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  LuaClassType (C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs' [237' 275])' LuaClassType (C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs' [498' 536])
Unnecessary Abstraction,LuaInterface,LuaIndexes,C:\repos\stevedonovan_MonoLuaInterface\src\LuaDLL.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' LUA_REGISTRYINDEX' LUA_ENVIRONINDEX' LUA_GLOBALSINDEX
Unnecessary Abstraction,LuaInterface,ReaderInfo,C:\repos\stevedonovan_MonoLuaInterface\src\LuaDLL.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' chunkData' finished
Unnecessary Abstraction,LuaInterface,LuaGlobalAttribute,C:\repos\stevedonovan_MonoLuaInterface\src\LuaGlobalAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Name' Description' name' descript
Unnecessary Abstraction,LuaInterface,LuaHideAttribute,C:\repos\stevedonovan_MonoLuaInterface\src\LuaHideAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,LuaInterface,LuaRegistrationHelper,C:\repos\stevedonovan_MonoLuaInterface\src\LuaRegistrationHelper.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,LuaInterface,MethodArgs,C:\repos\stevedonovan_MonoLuaInterface\src\MethodWrapper.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' index' extractValue' isParamsArray' paramsArrayType
Imperative Abstraction,LuaInterface,LuaMethodWrapper,C:\repos\stevedonovan_MonoLuaInterface\src\MethodWrapper.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: call
Unutilized Abstraction,LuaInterface,LuaClassHelper,C:\repos\stevedonovan_MonoLuaInterface\src\MethodWrapper.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,LuaInterface,ObjectTranslator,C:\repos\stevedonovan_MonoLuaInterface\src\ObjectTranslator.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: pushError
Imperative Abstraction,LuaInterface,MetaFunctions,C:\repos\stevedonovan_MonoLuaInterface\src\Metatables.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: dumpStack
Deficient Encapsulation,LuaInterface,LuaClassType,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: klass' returnTypes
Deficient Encapsulation,LuaInterface,LuaIndexes,C:\repos\stevedonovan_MonoLuaInterface\src\LuaDLL.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LUA_REGISTRYINDEX' LUA_ENVIRONINDEX' LUA_GLOBALSINDEX
Deficient Encapsulation,LuaInterface,LuaIndexes,C:\repos\stevedonovan_MonoLuaInterface\src\LuaDLL.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: LUA_REGISTRYINDEX' LUA_ENVIRONINDEX' LUA_GLOBALSINDEX
Deficient Encapsulation,LuaInterface,ReaderInfo,C:\repos\stevedonovan_MonoLuaInterface\src\LuaDLL.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: chunkData' finished
Deficient Encapsulation,LuaInterface,MethodCache,C:\repos\stevedonovan_MonoLuaInterface\src\MethodWrapper.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: IsReturnVoid' args' outList' argTypes
Deficient Encapsulation,LuaInterface,MethodArgs,C:\repos\stevedonovan_MonoLuaInterface\src\MethodWrapper.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: index' extractValue' isParamsArray' paramsArrayType
Deficient Encapsulation,LuaInterface,LuaEventHandler,C:\repos\stevedonovan_MonoLuaInterface\src\MethodWrapper.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: handler
Deficient Encapsulation,LuaInterface,LuaDelegate,C:\repos\stevedonovan_MonoLuaInterface\src\MethodWrapper.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: returnTypes' function
Unexploited Encapsulation,LuaInterface,ObjectTranslator,C:\repos\stevedonovan_MonoLuaInterface\src\ObjectTranslator.cs,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: LuaTable' LuaFunction (in method "push" of class "ObjectTranslator").
Cyclically-dependent Modularization,LuaInterface,CheckType,C:\repos\stevedonovan_MonoLuaInterface\src\CheckType.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.CheckType' LuaInterface.ObjectTranslator
Cyclically-dependent Modularization,LuaInterface,CheckType,C:\repos\stevedonovan_MonoLuaInterface\src\CheckType.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.CheckType' LuaInterface.MetaFunctions' LuaInterface.ObjectTranslator
Cyclically-dependent Modularization,LuaInterface,CheckType,C:\repos\stevedonovan_MonoLuaInterface\src\CheckType.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.CheckType' LuaInterface.ObjectTranslator' LuaInterface.Lua
Cyclically-dependent Modularization,LuaInterface,CheckType,C:\repos\stevedonovan_MonoLuaInterface\src\CheckType.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.CheckType' LuaInterface.MetaFunctions' LuaInterface.ObjectTranslator' LuaInterface.Lua
Cyclically-dependent Modularization,LuaInterface,DelegateGenerator,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.DelegateGenerator' LuaInterface.CheckType' LuaInterface.ObjectTranslator
Cyclically-dependent Modularization,LuaInterface,DelegateGenerator,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.DelegateGenerator' LuaInterface.CheckType' LuaInterface.MetaFunctions' LuaInterface.ObjectTranslator
Cyclically-dependent Modularization,LuaInterface,DelegateGenerator,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.DelegateGenerator' LuaInterface.CheckType' LuaInterface.ObjectTranslator
Cyclically-dependent Modularization,LuaInterface,ClassGenerator,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.ClassGenerator' LuaInterface.CheckType' LuaInterface.ObjectTranslator
Cyclically-dependent Modularization,LuaInterface,ClassGenerator,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.ClassGenerator' LuaInterface.CheckType' LuaInterface.MetaFunctions' LuaInterface.ObjectTranslator
Cyclically-dependent Modularization,LuaInterface,ClassGenerator,C:\repos\stevedonovan_MonoLuaInterface\src\GenerateEventAssembly.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: LuaInterface.ClassGenerator' LuaInterface.CheckType' LuaInterface.ObjectTranslator
