Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CurrentSelectedQueueContext,0,0,1,0,0,7,0,0,0,0,0,5
QueueConnectionContext,2,2,1,0,2,19,2,0,0,0.25,1,7
IDialogService,0,10,0,0,0,13,10,1,0,0,0,11
DialogService,3,11,0,0,11,88,18,0,1,0.64,12,1
MessageSelectedEvent,0,1,2,0,1,16,1,0,0,0,0,1
QueueDeletedEvent,0,1,1,0,1,11,1,0,0,0,0,2
QueueMessageCountChangedEvent,0,1,1,0,1,11,1,0,0,0,0,2
QueueClosedEvent,0,1,1,0,1,11,1,0,0,0,0,2
QueueConnectionChangedEvent,0,1,1,0,1,11,1,0,0,0,0,3
QueueSelectedEvent,0,1,1,0,1,11,1,0,0,0,0,1
RefreshQueuesEvent,0,0,0,0,0,3,0,0,0,0,0,5
AutoRefreshEvent,0,0,0,0,0,3,0,0,0,0,0,3
MessageDeletedEvent,0,1,1,0,1,11,1,0,0,0,0,2
ShellViewModel,6,9,2,0,6,81,12,0,1,0.83,7,1
App,0,1,0,0,1,10,1,0,0,0,0,0
AppBootstrapper,1,5,0,0,0,46,6,0,0,0.2,8,0
IShell,0,0,0,0,0,3,0,1,0,0,0,1
MainWindow,0,1,0,0,1,10,1,0,0,0,0,0
ConsoleLogger,0,3,0,0,3,15,3,0,0,0,0,0
MessageQueueExtensions,0,2,0,0,2,20,3,0,0,0,0,0
VersionInformation,0,2,0,0,2,17,2,0,0,0,0,0
ViewContentsFormattingExtensions,0,1,0,0,1,7,1,0,0,0,0,0
DetailsViewModel,1,2,1,0,2,19,2,0,0,0,1,1
MessageDetailsViewModel,3,4,19,0,3,164,5,0,0,0.5,4,0
MessagesGridViewModel,5,12,5,0,9,146,27,0,0,0.45,9,0
MessageGridRowViewModel,0,1,3,0,1,21,1,0,0,0,1,1
ComputerTreeNodeViewModel,2,2,5,0,2,44,2,0,0,0.5,3,1
JournalQueueTreeNodeViewModel,5,4,7,0,4,78,6,0,0,0.45,3,1
QueueTreeNodeViewModel,6,12,11,0,11,147,15,0,0,0.69,8,1
QueueTypeTreeNodeViewModel,5,9,9,0,5,123,16,0,0,0.64,7,1
TreeViewModel,0,1,1,0,1,13,1,0,0,0,1,0
ConfigureConnectionViewModel,4,2,3,0,2,42,3,0,0,0.38,3,1
CreateNewMessageViewModel,4,5,2,0,3,48,6,0,0,0.6,3,1
CreateNewQueueViewModel,4,2,4,0,2,45,3,0,0,0.12,4,1
ExportAllMessagesToQueueViewModel,4,3,6,0,3,92,14,0,0,1,4,1
ImportMessageBodyViewModel,4,4,5,0,4,63,6,0,0,0.62,2,1
ConfigureConnectionView,0,1,0,0,1,10,1,0,0,0,0,1
CreateNewQueueView,0,1,0,0,1,10,1,0,0,0,0,1
CreateNewMessageView,0,1,0,0,1,10,1,0,0,0,0,2
ExportAllMessagesToQueueView,0,1,0,0,1,10,1,0,0,0,0,1
ImportMessageBodyView,0,1,0,0,1,10,1,0,0,0,0,1
MessageDetailsView,0,1,0,0,1,7,1,0,0,0,0,0
MessagesGridView,0,1,0,0,1,7,1,0,0,0,0,0
DetailsView,0,3,1,0,3,23,4,0,0,0,1,1
TreeView,0,1,0,0,1,10,1,0,0,0,0,0
Resources,2,1,2,0,0,45,1,0,0,0,0,0
Settings,1,0,1,0,0,11,0,0,0,0,0,0
