Implementation smell,Namespace,Class,File,Method,Description
Long Method,JMMServer,JMMServiceImplementationMetro,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementationMetro.cs,GetAnimeDetail,The method has 137 lines of code.
Long Method,JMMServer,JMMServiceImplementationMetro,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementationMetro.cs,SetTvDBInfo,The method has 134 lines of code.
Long Method,JMMServer,JMMServiceImplementationPlex,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementationPlex.cs,GetFilters,The method has 100 lines of code.
Long Method,JMMServer,JMMServiceImplementationPlex,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementationPlex.cs,GetItemsFromSerie,The method has 130 lines of code.
Long Method,JMMServer,JMMServiceImplementationPlex,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementationPlex.cs,GetGroupsFromFilter,The method has 127 lines of code.
Long Method,JMMServer,JMMServiceImplementationREST,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementationREST.cs,GetImage,The method has 211 lines of code.
Long Method,JMMServer,Importer,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\Importer.cs,RunImport_GetImages,The method has 242 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetAnimeRatings,The method has 289 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetAllAnimeDetailed,The method has 176 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetAllSeries,The method has 150 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,SaveServerSettings,The method has 135 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetGroupVideoQualitySummary,The method has 205 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetGroupFileSummary,The method has 146 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetRecommendations,The method has 129 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetMyListFilesForRemoval,The method has 101 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetMissingEpisodes,The method has 125 lines of code.
Long Method,JMMServer,JMMServiceImplementation,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementation.cs,GetTraktFriendInfo,The method has 161 lines of code.
Long Method,JMMServer,JMMServiceImplementationImage,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\JMMServiceImplementationImage.cs,GetImage,The method has 179 lines of code.
Long Method,JMMServer,Languages,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\Languages.cs,GetLanguageDescription,The method has 102 lines of code.
Long Method,JMMServer,ServerSettings,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\ServerSettings.cs,DebugSettingsToLog,The method has 116 lines of code.
Long Method,JMMServer,StatsCache,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\StatsCache.cs,UpdateUsingGroup,The method has 249 lines of code.
Long Method,JMMServer,StatsCache,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\StatsCache.cs,InitStats,The method has 345 lines of code.
Long Method,JMMServer,StatsCache,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\StatsCache.cs,EvaluateGroupFilter,The method has 344 lines of code.
Long Method,JMMServer,RenameFileHelper,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\Utilities\RenameFileHelper.cs,EvaluateTestI,The method has 490 lines of code.
Long Method,JMMServer,RenameFileHelper,C:\repos\svn2github_Japanese_Media_Manager\JMMServer\JMMServer\Utilities\RenameFileHelper.cs,PerformActionOnFileNameADD,The method has 241 lines of code.
