Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Effort.DataLoaders,CachingDataLoader,4,4,2,0,4,118,6,4,1,1,31,0,Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CachingDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CachingDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CachingDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CachingDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CachingDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CachingDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CachingDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory,
Effort.DataLoaders,CachingTableDataLoader,1,2,0,0,2,36,3,0,1,0,15,4,Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ITableDataLoader,Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoaderFactory
Effort.DataLoaders,CachingTableDataLoaderFactory,4,7,0,0,4,150,14,0,1,0.57,95,1,Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.CachingTableDataLoaderFactory' Effort.DataLoaders.CachingTableDataLoaderStoreProxy' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.DataLoaderConfigurationKey,Effort.DataLoaders.CachingDataLoader
Effort.DataLoaders,CachingTableDataLoaderStoreProxy,0,2,0,0,2,35,2,0,1,-1,32,1,Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore' Effort.DataLoaders.CachingTableDataLoader' Effort.DataLoaders.ICachingTableDataLoaderStore' Effort.Internal.Caching.CachingTableDataLoaderKey' Effort.Internal.Caching.CachingTableDataLoaderStore,Effort.DataLoaders.CachingTableDataLoaderFactory
Effort.DataLoaders,ColumnDescription,0,1,2,0,0,27,1,0,0,-1,7,3,Effort.DataLoaders.ColumnDescription' Effort.DataLoaders.ColumnDescription' Effort.DataLoaders.ColumnDescription' Effort.DataLoaders.ColumnDescription' Effort.DataLoaders.ColumnDescription' Effort.DataLoaders.ColumnDescription' Effort.DataLoaders.ColumnDescription,Effort.DataLoaders.TableDescription' Effort.DataLoaders.ObjectTableDataLoader<T>' Effort.DataLoaders.ObjectLoader
Effort.DataLoaders,CsvDataLoader,1,3,2,0,3,60,3,0,1,1,39,0,Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CsvDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CsvDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CsvDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CsvDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CsvDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CsvDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.CsvDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.FileSource' Effort.DataLoaders.IDataLoader' Effort.DataLoaders.ITableDataLoaderFactory,
Effort.DataLoaders,CsvTableDataLoader,2,4,0,0,2,68,6,0,1,0.75,55,1,Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvValueConverter' Effort.DataLoaders.IFileReference' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.TableDataLoaderBase' Effort.DataLoaders.TableDescription' Effort.Internal.Csv.CsvReader,Effort.DataLoaders.CsvTableDataLoaderFactory
Effort.DataLoaders,CsvTableDataLoaderFactory,1,4,0,0,3,56,7,0,1,0.75,63,1,Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription' Effort.DataLoaders.CsvTableDataLoader' Effort.DataLoaders.CsvTableDataLoaderFactory' Effort.DataLoaders.EmptyTableDataLoader' Effort.DataLoaders.FileSource' Effort.DataLoaders.IFileReference' Effort.DataLoaders.ITableDataLoader' Effort.DataLoaders.ITableDataLoaderFactory' Effort.DataLoaders.TableDescription,Effort.DataLoaders.CsvDataLoader
Effort.DataLoaders,CsvValueConverter,0,2,0,0,1,111,17,0,1,-1,8,1,Effort.DataLoaders.IValueConverter' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.IValueConverter' Effort.DataLoaders.IValueConverter,Effort.DataLoaders.CsvTableDataLoader
Effort.DataLoaders,DataLoaderConfigurationLatchProxy,3,5,0,0,3,76,8,0,1,0,39,1,Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore' Effort.DataLoaders.DataLoaderConfigurationLatchProxy' Effort.DataLoaders.IDataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationKey' Effort.Internal.Caching.DataLoaderConfigurationLatch' Effort.Internal.Caching.DataLoaderConfigurationLatchStore,Effort.DataLoaders.CachingTableDataLoaderFactory
