Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,RemoteValidation,MvcApplication,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Global.asax.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,RemoteValidation.Controllers,AccountController,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Controllers\AccountController.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,RemoteValidation.Controllers,HomeController,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Controllers\HomeController.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,RemoteValidation.Filters,InitializeSimpleMembershipAttribute,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Filters\InitializeSimpleMembershipAttribute.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,RemoteValidation.Models,UserProfile,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Models\AccountModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserId' UserName
Unnecessary Abstraction,RemoteValidation.Models,RegisterExternalLoginModel,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Models\AccountModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserName' ExternalLoginData
Unnecessary Abstraction,RemoteValidation.Models,LocalPasswordModel,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Models\AccountModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: OldPassword' NewPassword' ConfirmPassword
Unnecessary Abstraction,RemoteValidation.Models,LoginModel,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Models\AccountModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserName' Password' RememberMe
Unnecessary Abstraction,RemoteValidation.Models,RegisterModel,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Models\AccountModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: UserName' Password' ConfirmPassword
Unnecessary Abstraction,RemoteValidation.Models,ExternalLogin,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Models\AccountModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Provider' ProviderDisplayName' ProviderUserId
Unutilized Abstraction,RemoteValidation.Models,ExternalLogin,C:\repos\telerik_kendo-examples-asp-net-mvc\validator-remotevalidation\RemoteValidation\Models\AccountModels.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
