Implementation smell,Namespace,Class,File,Method,Description
Long Method,Rasterizr.Pipeline.InputAssembler,PrimitiveAssembler,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\InputAssembler\PrimitiveAssembler.cs,GetPrimitiveStream,The method has 112 lines of code.
Complex Method,Rasterizr.Pipeline.OutputMerger,OutputMergerStage,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\OutputMerger\OutputMergerStage.cs,Execute,Cyclomatic complexity of the method is 9
Complex Method,Rasterizr.Pipeline.PixelShader,PixelShaderStage,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\PixelShader\PixelShaderStage.cs,Execute,Cyclomatic complexity of the method is 8
Long Parameter List,Rasterizr.Math,Box2D,C:\repos\tgjones_rasterizr\src\Rasterizr\Math\Box2D.cs,CheckMinMax,The method has 5 parameters. Parameters: v' minX' maxX' minY' maxY
Long Parameter List,Rasterizr.Pipeline.InputAssembler,InputAssemblerStage,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\InputAssembler\InputAssemblerStage.cs,GetVertexStreamInstanced,The method has 5 parameters. Parameters: vertexShaderInputSignature' vertexCountPerInstance' instanceCount' startVertexLocation' startInstanceLocation
Long Parameter List,Rasterizr.Pipeline.InputAssembler,InputAssemblerStage,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\InputAssembler\InputAssemblerStage.cs,GetVertexStreamIndexedInstanced,The method has 6 parameters. Parameters: vertexShaderInputSignature' indexCountPerInstance' instanceCount' startIndexLocation' baseVertexLocation' startInstanceLocation
Long Parameter List,Rasterizr.Pipeline.InputAssembler,InputAssemblerStage,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\InputAssembler\InputAssemblerStage.cs,GetVertexStreamInternal,The method has 5 parameters. Parameters: vertexShaderInputSignature' vertexCount' instanceID' vertexID' vertexBufferIndices
Long Parameter List,Rasterizr.Pipeline.InputAssembler,InputElement,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\InputAssembler\InputElement.cs,InputElement,The method has 7 parameters. Parameters: semanticName' semanticIndex' format' inputSlot' alignedByteOffset' inputSlotClass' instanceDataStepRate
Long Parameter List,Rasterizr.Pipeline.InputAssembler,InputElement,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\InputAssembler\InputElement.cs,InputElement,The method has 5 parameters. Parameters: semanticName' semanticIndex' format' inputSlot' alignedByteOffset
Long Parameter List,Rasterizr.Pipeline.OutputMerger,PixelEventArgs,C:\repos\tgjones_rasterizr\src\Rasterizr\Pipeline\OutputMerger\PixelEventArgs.cs,PixelEventArgs,The method has 9 parameters. Parameters: vertices' primitiveID' renderTargetArrayIndex' x' y' pixelShader' previous' result' exclusionReason
