Implementation smell,Namespace,Class,File,Method,Description
Complex Method,NuGet.VisualStudio,PackageRestoreManager,C:\repos\themotleyfool_NuGet\src\VisualStudio\PackageRestore\PackageRestoreManager.cs,GetPackage,Cyclomatic complexity of the method is 9
Complex Method,NuGet.VisualStudio,VsHierarchyItem,C:\repos\themotleyfool_NuGet\src\VisualStudio\Utility\VsHierarchyItem.cs,WalkDepthFirst,Cyclomatic complexity of the method is 8
Complex Method,NuGet.VisualStudio,SolutionExtensions,C:\repos\themotleyfool_NuGet\src\VisualStudio\SolutionExtensions.cs,GetAllProjects,Cyclomatic complexity of the method is 9
Complex Method,NuGet.VisualStudio,VsPackageManager,C:\repos\themotleyfool_NuGet\src\VisualStudio\VsPackageManager.cs,FindLocalPackage,Cyclomatic complexity of the method is 11
Long Parameter List,NuGet.VisualStudio,PackageRestoreManager,C:\repos\themotleyfool_NuGet\src\VisualStudio\PackageRestore\PackageRestoreManager.cs,PackageRestoreManager,The method has 7 parameters. Parameters: solutionManager' fileSystemProvider' packageRepositoryFactory' packageManagerFactory' packageSourceProvider' packageInstallerEvents' settings
Long Parameter List,NuGet.VisualStudio,PackageRestoreManager,C:\repos\themotleyfool_NuGet\src\VisualStudio\PackageRestore\PackageRestoreManager.cs,PackageRestoreManager,The method has 10 parameters. Parameters: dte' solutionManager' fileSystemProvider' packageRepositoryFactory' packageSourceProvider' packageManagerFactory' packageInstallerEvents' localCacheRepository' waitDialogFactory' settings
Long Parameter List,NuGet.VisualStudio,TrackProjectDocumentEventListener,C:\repos\themotleyfool_NuGet\src\VisualStudio\VsSourceControlTracker.cs,OnAfterSccStatusChanged,The method has 6 parameters. Parameters: cProjects' cFiles' rgpProjects' rgFirstIndices' rgpszMkDocuments' rgdwSccStatus
Long Parameter List,NuGet.VisualStudio,TrackProjectDocumentEventListener,C:\repos\themotleyfool_NuGet\src\VisualStudio\VsSourceControlTracker.cs,OnAfterAddDirectoriesEx,The method has 6 parameters. Parameters: cProjects' cDirectories' rgpProjects' rgFirstIndices' rgpszMkDocuments' rgFlags
Long Parameter List,NuGet.VisualStudio,TrackProjectDocumentEventListener,C:\repos\themotleyfool_NuGet\src\VisualStudio\VsSourceControlTracker.cs,OnAfterAddFilesEx,The method has 6 parameters. Parameters: cProjects' cFiles' rgpProjects' rgFirstIndices' rgpszMkDocuments' rgFlags
Long Parameter List,NuGet.VisualStudio,TrackProjectDocumentEventListener,C:\repos\themotleyfool_NuGet\src\VisualStudio\VsSourceControlTracker.cs,OnAfterRemoveDirectories,The method has 6 parameters. Parameters: cProjects' cDirectories' rgpProjects' rgFirstIndices' rgpszMkDocuments' rgFlags
