Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop' FFmpegSharp.Interop.Util,FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop' FFmpegSharp.Interop.Util' FFmpegSharp.Interop.Codec,FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational' FFmpegSharp.Interop.Codec.AVCodec' FFmpegSharp.Interop.Codec.AVCodecContext' FFmpegSharp.Interop.Codec.AVFrame
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop' FFmpegSharp.Interop.Util' FFmpegSharp.Interop.Format' FFmpegSharp.Interop.Codec,FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational' FFmpegSharp.Interop.Format.AVChapter' FFmpegSharp.Interop.Format.AVFormatContext' FFmpegSharp.Interop.Codec.AVCodec' FFmpegSharp.Interop.Codec.AVCodecContext' FFmpegSharp.Interop.Codec.AVFrame
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop' FFmpegSharp.Interop.Util' FFmpegSharp.Interop.Format.Input' FFmpegSharp.Interop.Format' FFmpegSharp.Interop.Codec,FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational' FFmpegSharp.Interop.Format.Input.AVInputFormat' FFmpegSharp.Interop.Format.AVChapter' FFmpegSharp.Interop.Format.AVFormatContext' FFmpegSharp.Interop.Codec.AVCodec' FFmpegSharp.Interop.Codec.AVCodecContext' FFmpegSharp.Interop.Codec.AVFrame
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop.Codec,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop.Codec' FFmpegSharp.Interop.Format,FFmpegSharp.Interop.Codec.AVCodec' FFmpegSharp.Interop.Codec.AVCodecContext' FFmpegSharp.Interop.Codec.AVFrame' FFmpegSharp.Interop.Format.AVChapter' FFmpegSharp.Interop.Format.AVFormatContext
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop.Codec,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop.Codec' FFmpegSharp.Interop.Codec.BitStream' FFmpegSharp.Interop' FFmpegSharp.Interop.Util,FFmpegSharp.Interop.Codec.AVCodec' FFmpegSharp.Interop.Codec.AVCodecContext' FFmpegSharp.Interop.Codec.AVFrame' FFmpegSharp.Interop.Codec.BitStream.AVBitStreamFilterContext' FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop.Format,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop.Format' FFmpegSharp.Interop.Format.Input,FFmpegSharp.Interop.Format.AVChapter' FFmpegSharp.Interop.Format.AVFormatContext' FFmpegSharp.Interop.Format.Input.AVInputFormat
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop.Format,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop.Format' FFmpegSharp.Interop' FFmpegSharp.Interop.Util,FFmpegSharp.Interop.Format.AVChapter' FFmpegSharp.Interop.Format.AVFormatContext' FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop.Format.Context,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop.Format.Context' FFmpegSharp.Interop' FFmpegSharp.Interop.Util,FFmpegSharp.Interop.Format.Context.AVIOContext' FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop.Format.Context,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop.Format.Context' FFmpegSharp.Interop.Format' FFmpegSharp.Interop' FFmpegSharp.Interop.Util,FFmpegSharp.Interop.Format.Context.AVIOContext' FFmpegSharp.Interop.Format.AVChapter' FFmpegSharp.Interop.Format.AVFormatContext' FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational
Cyclic Dependency,FFmpegSharp,FFmpegSharp.Interop.Format.Context,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: FFmpegSharp.Interop.Format.Context' FFmpegSharp.Interop' FFmpegSharp.Interop.Util' FFmpegSharp.Interop' FFmpegSharp.Interop.Util,FFmpegSharp.Interop.Format.Context.AVIOContext' FFmpegSharp.Interop.FFmpeg' FFmpegSharp.Interop.Util.AVRational
