Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
SevenZip4PowerShell,OutputFormat,0,0,0,0,0,9,0,0,0,-1,0,1,,SevenZip4PowerShell.Compress7Zip
SevenZip4PowerShell,Compress7Zip,3,4,15,0,0,179,10,0,1,0.75,5,1,SevenZip4PowerShell.ThreadedCmdlet' SevenZip4PowerShell.ParameterSetNames' SevenZip4PowerShell.Utils' SevenZip4PowerShell.OutputFormat' SevenZip4PowerShell.CompressWorker,SevenZip4PowerShell.CompressWorker
SevenZip4PowerShell,CompressWorker,1,2,1,0,2,72,10,0,1,0,1,1,SevenZip4PowerShell.Compress7Zip,SevenZip4PowerShell.Compress7Zip
SevenZip4PowerShell,Expand7Zip,1,2,5,0,0,69,3,0,1,1,4,1,SevenZip4PowerShell.ThreadedCmdlet' SevenZip4PowerShell.ParameterSetNames' SevenZip4PowerShell.Utils' SevenZip4PowerShell.ExpandWorker,SevenZip4PowerShell.ExpandWorker
SevenZip4PowerShell,ExpandWorker,1,3,0,0,2,32,4,0,1,0,1,1,SevenZip4PowerShell.Expand7Zip,SevenZip4PowerShell.Expand7Zip
SevenZip4PowerShell,Get7Zip,1,2,3,0,0,44,5,0,0,0,2,0,SevenZip4PowerShell.Utils' SevenZip4PowerShell.ParameterSetNames,
SevenZip4PowerShell,Get7ZipInformation,1,2,3,0,0,52,5,0,0,0,2,0,SevenZip4PowerShell.Utils' SevenZip4PowerShell.ParameterSetNames,
SevenZip4PowerShell,ArchiveInformation,0,0,7,0,0,10,0,0,0,-1,0,0,,
SevenZip4PowerShell,ParameterSetNames,3,0,0,3,0,5,0,0,0,-1,0,4,,SevenZip4PowerShell.Compress7Zip' SevenZip4PowerShell.Expand7Zip' SevenZip4PowerShell.Get7Zip' SevenZip4PowerShell.Get7ZipInformation
SevenZip4PowerShell,ThreadedCmdlet,1,4,0,0,0,42,6,2,0,0,2,2,SevenZip4PowerShell.CmdletWorker' SevenZip4PowerShell.Utils,SevenZip4PowerShell.Compress7Zip' SevenZip4PowerShell.Expand7Zip
SevenZip4PowerShell,CmdletWorker,0,3,1,0,1,10,3,2,0,-1,0,1,,SevenZip4PowerShell.ThreadedCmdlet
SevenZip4PowerShell,Utils,0,1,3,0,1,15,1,0,0,-1,0,5,,SevenZip4PowerShell.Compress7Zip' SevenZip4PowerShell.Expand7Zip' SevenZip4PowerShell.Get7Zip' SevenZip4PowerShell.Get7ZipInformation' SevenZip4PowerShell.ThreadedCmdlet
