Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Winterdom.Viasfora.Languages.BraceScanners,CBraceScanner,5,8,1,0,3,99,27,0,1,0.25,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.CBasedLanguage
Winterdom.Viasfora.Languages.BraceScanners,CSharpBraceScanner,10,11,1,0,4,248,58,0,1,0.18,4,2,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Rainbow.IResumeControl' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.XLang' Winterdom.Viasfora.Languages.CSharp
Winterdom.Viasfora.Languages.BraceScanners,CssBraceScanner,5,8,1,0,3,85,23,0,1,0.25,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.Css
Winterdom.Viasfora.Languages.BraceScanners,DefaultBraceScanner,0,2,1,0,2,9,2,0,1,-1,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.DefaultLanguage
Winterdom.Viasfora.Languages.BraceScanners,FortranBraceScanner,4,6,1,0,2,60,17,0,1,0,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.Fortran
Winterdom.Viasfora.Languages.BraceScanners,FSharpBraceScanner,7,10,1,0,4,151,38,0,1,0.3,4,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Rainbow.IResumeControl' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.FSharp
Winterdom.Viasfora.Languages.BraceScanners,JScriptBraceScanner,9,13,1,0,4,208,52,0,1,0.15,4,3,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Rainbow.IResumeControl' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.JSON' Winterdom.Viasfora.Languages.TypeScript' Winterdom.Viasfora.Languages.JScript
Winterdom.Viasfora.Languages.BraceScanners,PsBraceScanner,7,9,1,0,3,125,35,0,1,0.22,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.PowerShell
Winterdom.Viasfora.Languages.BraceScanners,PythonBraceScanner,5,6,1,0,3,74,19,0,1,0.33,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.Python
Winterdom.Viasfora.Languages.BraceScanners,RBraceScanner,4,6,1,0,2,64,17,0,1,0,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.R
Winterdom.Viasfora.Languages.BraceScanners,SqlBraceScanner,4,5,1,0,2,70,18,0,1,0,3,1,Winterdom.Viasfora.Rainbow.CharPos' Winterdom.Viasfora.Rainbow.IBraceScanner' Winterdom.Viasfora.Util.ITextChars,Winterdom.Viasfora.Languages.Sql
