Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,PetaPoco,ExplicitColumnsAttribute,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Attributes\ExplicitColumnsAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,PetaPoco,IgnoreAttribute,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Attributes\IgnoreAttribute.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Duplicate Abstraction,PetaPoco,Database,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  Database (D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs' [862' 881])' Database (D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs' [913' 932])
Duplicate Abstraction,PetaPoco,Database,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  Database (D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs' [1801' 1822])' Database (D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs' [1957' 1978])
Feature Envy,PetaPoco,Database,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: SetParameterProperties which is more interested in members of the type: IProvider
Feature Envy,PetaPoco,Database,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: PrepareExecuteInsert which is more interested in members of the type: IProvider
Unnecessary Abstraction,PetaPoco,IDatabaseBuildConfiguration,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\IDatabaseBuildConfiguration.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,PetaPoco,ITransactionAccessor,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\ITransactionAccessor.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Transaction
Unutilized Abstraction,PetaPoco,OracleProvider,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\OracleProvider.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,PetaPoco.Internal,Singleton<T>,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Utilities\Singleton.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Instance
Unnecessary Abstraction,PetaPoco.Utilities,SQLParts,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Utilities\SQLParts.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Sql' SqlCount' SqlSelectRemoved' SqlOrderBy
Deficient Encapsulation,PetaPoco,OracleProvider,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\OracleProvider.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Instance
Deficient Encapsulation,PetaPoco,OracleProvider,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\OracleProvider.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: Instance
Deficient Encapsulation,PetaPoco.Core,PocoColumn,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Core\PocoColumn.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AutoSelectedResultColumn' ColumnName' ForceToUtc' PropertyInfo' ResultColumn
Deficient Encapsulation,PetaPoco.Core,PocoData,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Core\PocoData.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Type
Deficient Encapsulation,PetaPoco.Internal,Singleton<T>,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Utilities\Singleton.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Instance
Deficient Encapsulation,PetaPoco.Internal,Singleton<T>,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Utilities\Singleton.cs,The tool detected the smell in this class because the class declares global (public static) fields. Following fields are declared with public static modifiers: Instance
Deficient Encapsulation,PetaPoco.Utilities,PagingHelper,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Utilities\PagingHelper.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: RegexColumns' RegexDistinct' RegexOrderBy' SimpleRegexOrderBy' RegexGroupBy' SimpleRegexGroupBy
Deficient Encapsulation,PetaPoco.Utilities,SQLParts,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Utilities\SQLParts.cs,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Sql' SqlCount' SqlSelectRemoved' SqlOrderBy
Broken Modularization,PetaPoco,Page<T>,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Core\Page.cs,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields and properties are declared in this class: CurrentPage' TotalPages' TotalItems' ItemsPerPage' Items' Context
Insufficient Modularization,PetaPoco,Database,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 269 public methods
Insufficient Modularization,PetaPoco,Database,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 292 methods
Insufficient Modularization,PetaPoco,Database,D:\research\architectureSmells\repos1\toptensoftware_PetaPoco\PetaPoco\Database.cs,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e.' WMC) is: 466
