Namespace,Type,Method,LOC,CC,PC
ExceptionHandlingSample,WebApiConfig,Register,11,1,1
ExceptionHandlingSample,MyGlobalHandler,Handle,14,2,1
ExceptionHandlingSample,MyGlobalHandler,ShouldHandle,3,1,1
ExceptionHandlingSample,WebApiApplication,Application_Start,3,1,0
ExceptionHandlingSample.Controllers,CarsController,CarsController,3,1,0
ExceptionHandlingSample.Controllers,CarsController,Get,4,1,0
ExceptionHandlingSample.Controllers,CarsController,Get,12,2,1
ExceptionHandlingSample.Controllers,CarsController,Post,4,1,1
ExceptionHandlingSample.Controllers,CarsController,Put,12,2,2
ExceptionHandlingSample.Controllers,CarsController,Delete,11,2,1
ExceptionHandlingSample.Controllers,SpecialToCarsControllerExceptionFilterAttribute,OnException,6,2,1
ExceptionHandlingSample.Models,CarsContext,Get,3,1,1
ExceptionHandlingSample.Models,CarsContext,GetSingle,5,1,1
ExceptionHandlingSample.Models,CarsContext,GetSingle,3,1,1
ExceptionHandlingSample.Models,CarsContext,Add,9,1,1
ExceptionHandlingSample.Models,CarsContext,TryRemove,4,1,1
ExceptionHandlingSample.Models,CarsContext,TryUpdate,8,2,1
