Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
AntlrCSharp,AntlrUtils,0,3,0,0,3,87,9,0,0,-1,1,1,Antlr.Runtime.Tree.CommonTreeNodeStream,Twiglet.CS2J.Translator.CS2J
AntlrCSharp,PreProcessor,3,8,1,0,8,107,14,0,0,0.75,4,2,Antlr.Runtime.Tokens' Antlr.Runtime.IToken' Antlr.Runtime.TokenChannels' Antlr.Runtime.RecognitionException,Twiglet.CS2J.Translator.CS2J' Twiglet.CS2J.Translator.Transform.CommonWalker
Twiglet.CS2J.Translator,CS2J,6,15,1,0,9,626,78,0,0,0.27,16,1,Twiglet.CS2J.Translator.CS2JSettings' Nini.Config.IConfigSource' Nini.Config.IConfig' Twiglet.CS2J.Translator.CS2JOptionStrings' NDesk.Options.OptionSet' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.Utils.Constants' Twiglet.CS2J.Translator.Templates' Antlr.Runtime.ICharStream' AntlrCSharp.PreProcessor' Antlr.Runtime.CommonTokenStream' Antlr.Runtime.Tree.CommonTreeNodeStream' Antlr.Runtime.Tree.ITreeNodeStream' Antlr.Runtime.Tree.CommonTree' AntlrCSharp.AntlrUtils' Twiglet.CS2J.Translator.Transform.ClassDescriptorSerialized,Twiglet.CS2J.Translator.Driver
Twiglet.CS2J.Translator,CS2JOption<T>,2,2,2,0,2,36,3,0,0,0,0,0,,
Twiglet.CS2J.Translator,CS2JOptionStrings,0,1,0,0,1,17,2,0,0,-1,0,2,,Twiglet.CS2J.Translator.CS2J' Twiglet.CS2J.Translator.CS2JSettings
Twiglet.CS2J.Translator,CS2JSettings,36,1,72,0,1,695,1,0,0,0,1,3,Twiglet.CS2J.Translator.CS2JOptionStrings,Twiglet.CS2J.Translator.CS2J' Twiglet.CS2J.Translator.Transform.CommonWalker' Twiglet.CS2J.Translator.Transform.MethodMapper
Twiglet.CS2J.Translator,Driver,0,1,0,0,1,15,2,0,0,-1,1,0,Twiglet.CS2J.Translator.CS2J,
Twiglet.CS2J.Translator,Templates,1,0,1,0,0,267,0,0,0,-1,0,1,,Twiglet.CS2J.Translator.CS2J
Twiglet.CS2J.Translator.TypeRep,TemplateUtilities,0,3,0,0,2,69,10,0,0,-1,2,1,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.TypeVarMapper,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate
Twiglet.CS2J.Translator.TypeRep,TypeVarMapper,3,4,0,0,4,35,6,0,0,0,2,2,Twiglet.CS2J.Translator.TypeRep.TypeRepRef' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate,Twiglet.CS2J.Translator.TypeRep.TemplateUtilities' Twiglet.CS2J.Translator.TypeRep.TypeRepRef
Twiglet.CS2J.Translator.TypeRep,IApplyTypeArgs,0,1,0,0,0,5,1,2,0,-1,0,0,,
Twiglet.CS2J.Translator.TypeRep,Javastyle,0,0,0,0,0,4,0,0,0,-1,0,1,,Twiglet.CS2J.Translator.TypeRep.TranslationBase
Twiglet.CS2J.Translator.TypeRep,TypeRepRef,2,8,2,0,8,110,11,0,0,0.88,1,9,Twiglet.CS2J.Translator.TypeRep.TypeVarMapper,Twiglet.CS2J.Translator.TypeRep.TypeVarMapper' Twiglet.CS2J.Translator.TypeRep.ParamRepTemplate' Twiglet.CS2J.Translator.TypeRep.IterableRepTemplate' Twiglet.CS2J.Translator.TypeRep.MethodRepTemplate' Twiglet.CS2J.Translator.TypeRep.CastRepTemplate' Twiglet.CS2J.Translator.TypeRep.FieldRepTemplate' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate' Twiglet.CS2J.Translator.TypeRep.UnknownRepTemplate
Twiglet.CS2J.Translator.TypeRep,ParamRepTemplate,1,8,3,0,8,78,12,1,1,0.88,1,6,Twiglet.CS2J.Translator.TypeRep.TypeRepRef,Twiglet.CS2J.Utility.TemplateFromDLL' Twiglet.CS2J.Translator.TypeRep.ParamArrayRepTemplate' Twiglet.CS2J.Translator.TypeRep.TranslationBase' Twiglet.CS2J.Translator.TypeRep.ConstructorRepTemplate' Twiglet.CS2J.Translator.TypeRep.IndexerRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate
Twiglet.CS2J.Translator.TypeRep,ParamArrayRepTemplate,0,6,0,0,6,39,7,0,2,-1,1,4,Twiglet.CS2J.Translator.TypeRep.ParamRepTemplate,Twiglet.CS2J.Translator.TypeRep.TranslationBase' Twiglet.CS2J.Translator.TypeRep.ConstructorRepTemplate' Twiglet.CS2J.Translator.TypeRep.IndexerRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate
Twiglet.CS2J.Translator.TypeRep,AliasRepTemplate,0,6,2,0,6,58,10,0,0,-1,0,4,,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate' Twiglet.CS2J.Translator.TypeRep.ClassRepTemplate' Twiglet.CS2J.Translator.TypeRep.StructRepTemplate
Twiglet.CS2J.Translator.TypeRep,TranslationBase,4,14,4,0,8,190,34,6,1,0.79,4,6,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.Javastyle' Twiglet.CS2J.Translator.TypeRep.ParamRepTemplate' Twiglet.CS2J.Translator.TypeRep.ParamArrayRepTemplate,Twiglet.CS2J.Translator.TypeRep.IterableRepTemplate' Twiglet.CS2J.Translator.TypeRep.ConstructorRepTemplate' Twiglet.CS2J.Translator.TypeRep.CastRepTemplate' Twiglet.CS2J.Translator.TypeRep.FieldRepTemplate' Twiglet.CS2J.Translator.TypeRep.EnumMemberRepTemplate' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate
Twiglet.CS2J.Translator.TypeRep,IterableRepTemplate,0,9,1,0,9,70,13,0,2,-1,3,1,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.TypeRepRef' Twiglet.CS2J.Translator.TypeRep.TranslationBase,Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate
Twiglet.CS2J.Translator.TypeRep,ConstructorRepTemplate,2,10,2,0,10,126,25,1,2,0.8,4,3,Twiglet.CS2J.Translator.TypeRep.ParamArrayRepTemplate' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.ParamRepTemplate' Twiglet.CS2J.Translator.TypeRep.TranslationBase,Twiglet.CS2J.Utility.TemplateFromDLL' Twiglet.CS2J.Translator.TypeRep.MethodRepTemplate' Twiglet.CS2J.Translator.TypeRep.ClassRepTemplate
Twiglet.CS2J.Translator.TypeRep,MethodRepTemplate,5,10,7,0,10,226,34,1,3,0.9,3,4,Twiglet.CS2J.Translator.TypeRep.TypeRepRef' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.ConstructorRepTemplate,Twiglet.CS2J.Utility.TemplateFromDLL' Twiglet.CS2J.Translator.TypeRep.InvokeRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate' Twiglet.CS2J.Translator.TypeRep.ClassRepTemplate
Twiglet.CS2J.Translator.TypeRep,InvokeRepTemplate,0,3,0,0,3,17,3,0,4,-1,2,3,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.MethodRepTemplate,Twiglet.CS2J.Translator.TypeRep.DelegateRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate' Twiglet.CS2J.Translator.TypeRep.ClassRepTemplate
Twiglet.CS2J.Translator.TypeRep,CastRepTemplate,2,10,2,0,10,123,18,0,2,0.9,3,2,Twiglet.CS2J.Translator.TypeRep.TypeRepRef' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.TranslationBase,Twiglet.CS2J.Utility.TemplateFromDLL' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate
Twiglet.CS2J.Translator.TypeRep,FieldRepTemplate,1,9,2,0,9,81,14,1,2,0.89,3,4,Twiglet.CS2J.Translator.TypeRep.TypeRepRef' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.TranslationBase,Twiglet.CS2J.Utility.TemplateFromDLL' Twiglet.CS2J.Translator.TypeRep.PropRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate' Twiglet.CS2J.Translator.TypeRep.ClassRepTemplate
Twiglet.CS2J.Translator.TypeRep,PropRepTemplate,4,8,4,0,8,127,12,1,3,0.88,2,3,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.FieldRepTemplate,Twiglet.CS2J.Utility.TemplateFromDLL' Twiglet.CS2J.Translator.TypeRep.IndexerRepTemplate' Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate
Twiglet.CS2J.Translator.TypeRep,IndexerRepTemplate,4,8,6,0,8,195,28,0,4,0.5,4,1,Twiglet.CS2J.Translator.TypeRep.ParamArrayRepTemplate' Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.ParamRepTemplate' Twiglet.CS2J.Translator.TypeRep.PropRepTemplate,Twiglet.CS2J.Translator.TypeRep.InterfaceRepTemplate
Twiglet.CS2J.Translator.TypeRep,EnumMemberRepTemplate,0,9,2,0,9,68,13,0,2,-1,2,1,Twiglet.CS2J.Translator.TypeRep.TypeRepTemplate' Twiglet.CS2J.Translator.TypeRep.TranslationBase,Twiglet.CS2J.Translator.TypeRep.EnumRepTemplate
