Namespace,Type,Method,LOC,CC,PC
SimpleMvcSitemap.Website.Controllers,HomeController,HomeController,4,1,1
SimpleMvcSitemap.Website.Controllers,HomeController,Index,13,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,Default,7,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,Image,7,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,Video,7,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,News,7,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,Mobile,6,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,Translation,3,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,StyleSheet,3,1,0
SimpleMvcSitemap.Website.Controllers,HomeController,Huge,3,1,0
SimpleMvcSitemap.Website.Controllers,ProductController,Index,6,1,1
SimpleMvcSitemap.Website.Controllers,ProductController,Detail,3,1,1
SimpleMvcSitemap.Website.Controllers,ProductController,CreateProducts,3,1,1
SimpleMvcSitemap.Website,Program,Main,8,1,1
SimpleMvcSitemap.Website,Startup,ConfigureServices,5,1,1
SimpleMvcSitemap.Website,Startup,Configure,12,2,3
SimpleMvcSitemap.Website.SampleBusiness,ProductSitemapIndexConfiguration,ProductSitemapIndexConfiguration,4,1,3
SimpleMvcSitemap.Website.SampleBusiness,ProductSitemapIndexConfiguration,CreateSitemapIndexNode,3,1,1
SimpleMvcSitemap.Website.SampleBusiness,ProductSitemapIndexConfiguration,CreateNode,3,1,1
SimpleMvcSitemap.Website.SampleBusiness,SitemapIndexConfiguration,SitemapIndexConfiguration,5,1,2
SimpleMvcSitemap.Website.SampleBusiness,SitemapIndexConfiguration,CreateSitemapIndexNode,3,1,1
SimpleMvcSitemap.Website.SampleBusiness,SitemapIndexConfiguration,CreateNode,3,1,1
SimpleMvcSitemap.Sample.SampleBusiness,ISampleSitemapNodeBuilder,BuildSitemapIndex,0,1,0
SimpleMvcSitemap.Sample.SampleBusiness,ISampleSitemapNodeBuilder,BuildSitemapModel,0,1,0
SimpleMvcSitemap.Sample.SampleBusiness,SampleSitemapNodeBuilder,BuildSitemapIndex,12,1,0
SimpleMvcSitemap.Sample.SampleBusiness,SampleSitemapNodeBuilder,BuildSitemapModel,20,2,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithRequiredProperties,3,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithAllProperties,8,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapIndexNodeWithRequiredProperties,3,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapIndexNodeWithAllProperties,6,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithImageRequiredProperties,6,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithImageAllProperties,15,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithVideoRequiredProperties,7,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithVideoAllProperties,40,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithNewsRequiredProperties,6,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithNewsAllProperties,12,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapNodeWithMobile,3,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapWithTranslations,20,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapWithSingleStyleSheet,9,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateSitemapWithMultipleStyleSheets,11,1,0
SimpleMvcSitemap.Tests,TestDataBuilder,CreateHugeSitemap,4,1,1
