Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Character,12,8,0,9,4,81,10,2,0,0.85,3,5
CharName,3,3,0,0,2,30,5,0,0,0,0,2
CPlayer,2,4,0,1,1,48,5,0,1,0.38,5,3
NPC,6,11,0,0,1,147,32,0,1,0.73,10,1
Player,1,1,0,1,1,8,1,1,1,1,1,3
Bullet,11,3,0,6,3,67,8,0,0,0.39,3,3
Extensions,0,1,0,0,1,13,2,0,0,0,0,0
GameController,11,15,0,10,11,212,43,0,1,0.83,17,8
StrikerServer,2,5,0,1,5,43,5,0,0,0.4,3,0
Vector2,3,2,0,3,2,22,2,0,0,0.5,0,7
MoveDownOperator,0,1,0,0,1,14,2,0,0,0,3,1
MoveLeftOperator,0,1,0,0,1,14,2,0,0,0,3,1
MoveRightOperator,0,1,0,0,1,14,2,0,0,0,3,1
MoveUpOperator,0,1,0,0,1,14,2,0,0,0,3,1
StrikerHeuristic,0,2,0,0,2,12,2,0,0,0,1,1
StrikerIAState,3,6,0,3,5,36,6,0,0,0.5,2,6
Element,5,2,0,5,2,14,2,3,0,1,0,8
Floor,0,2,0,0,2,12,2,0,1,0,0,1
Lava,0,2,0,0,2,12,2,0,1,0,0,1
Wall,0,2,0,0,2,12,2,0,1,0,0,1
Level,4,4,0,4,4,40,6,0,0,0.44,2,4
LevelLoader,0,5,0,0,1,59,15,0,0,0,5,1
GameEndState,0,3,0,0,3,24,6,0,1,0,3,1
GameState,1,4,0,0,4,17,4,3,0,1,1,1
MenuGameState,0,1,0,0,1,6,1,0,1,0,1,1
PlayerController,9,2,0,9,2,30,3,0,0,0.56,2,3
PlayGameState,2,6,0,0,3,108,26,0,1,0.75,10,1
SpawnPoint,2,0,0,2,0,5,0,0,0,0,0,5
