Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,JTL.Tax1040.BusinessObject,AddressBase,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\AddressBase.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,JTL.Tax1040.BusinessObject,AlaskaPermanentFundDividend,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\AlaskaPermanentFundDividend.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: PrimaryTaxpayerAlaskaFundDividend' SpouseAlaskaFundDividend
Unutilized Abstraction,JTL.Tax1040.BusinessObject,AlaskaPermanentFundDividend,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\AlaskaPermanentFundDividend.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,JTL.Tax1040.BusinessObject,BankDetails,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\BankDetails.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: RoutingTransitNumber' AccountNumber' BankName' BankAccountTypeCode
Unutilized Abstraction,JTL.Tax1040.BusinessObject,BankDetails,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\BankDetails.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,JTL.Tax1040.BusinessObject,BankProduct,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\BankProduct.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,JTL.Tax1040.BusinessObject,BankProduct,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\BankProduct.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,JTL.Tax1040.BusinessObject,CA5402EZPage1,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\CA5402EZPage1.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unutilized Abstraction,JTL.Tax1040.BusinessObject,CA5402EZPage1,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\CA5402EZPage1.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,JTL.Tax1040.BusinessObject,CA5402EZPage2,C:\repos\vivekkumarm_Tax1040EZ\Feature\Code\JTL.Tax1040.BusinessObject\CA5402EZPage2.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
