Implementation smell,Namespace,Class,File,Method,Description
Long Method,Microsoft.SPOT.Debugger,AbortHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\AbortHandler.cs,ReadRegisters,The method has 115 lines of code.
Long Method,Microsoft.SPOT.Debugger,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ReadSignature,The method has 153 lines of code.
Long Method,Microsoft.SPOT.Debugger,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,EmitValue,The method has 115 lines of code.
Long Method,Microsoft.SPOT.Debugger,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ReadValue,The method has 126 lines of code.
Long Method,Microsoft.SPOT.Debugger,Engine,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Engine.cs,Deployment_Execute_Incremental,The method has 132 lines of code.
Long Method,Microsoft.SPOT.Debugger,PortDefinition_Tcp,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\PortDefinition.cs,EnumeratePorts,The method has 121 lines of code.
Long Method,Microsoft.SPOT.Debugger,SRecordFile,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\SRecord.cs,Parse,The method has 127 lines of code.
Long Method,Microsoft.SPOT.Debugger,WinUsb_AsyncUsbStream,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\WinUsbStream.cs,EnumeratePorts,The method has 118 lines of code.
Long Method,Microsoft.SPOT.Messaging,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ReadSignature,The method has 153 lines of code.
Long Method,Microsoft.SPOT.Messaging,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,EmitValue,The method has 115 lines of code.
Long Method,Microsoft.SPOT.Messaging,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ReadValue,The method has 126 lines of code.
Long Method,Microsoft.SPOT.Debugger.WireProtocol,MessageReassembler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Controller.cs,Process,The method has 127 lines of code.
Long Method,Microsoft.SPOT.Debugger.WireProtocol,Commands,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\WireProtocol.cs,ResolveCommandToPayload,The method has 260 lines of code.
Complex Method,Microsoft.SPOT.Debugger,ArmDisassembler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\ArmDisassembler.cs,Decode,Cyclomatic complexity of the method is 23
Complex Method,Microsoft.SPOT.Debugger,Decoder_BlockDataTransfer,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\ArmDisassembler.cs,Print,Cyclomatic complexity of the method is 9
Complex Method,Microsoft.SPOT.Debugger,AsyncUsbStream,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\AsyncUsbStream.cs,EnumeratePorts,Cyclomatic complexity of the method is 8
Complex Method,Microsoft.SPOT.Debugger,BinaryFormatter,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,AddType,Cyclomatic complexity of the method is 10
Complex Method,Microsoft.SPOT.Debugger,BinaryFormatter,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ComputeHashForField,Cyclomatic complexity of the method is 11
Complex Method,Microsoft.SPOT.Debugger,TypeDescriptorBasic,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,SetType,Cyclomatic complexity of the method is 8
Complex Method,Microsoft.SPOT.Debugger,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,EmitSignature,Cyclomatic complexity of the method is 10
Complex Method,Microsoft.SPOT.Debugger,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ReadSignature,Cyclomatic complexity of the method is 8
Complex Method,Microsoft.SPOT.Debugger,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,EmitValue,Cyclomatic complexity of the method is 9
Complex Method,Microsoft.SPOT.Debugger,TypeHandler,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ReadValue,Cyclomatic complexity of the method is 10
Complex Method,Microsoft.SPOT.Debugger,State,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,Advance,Cyclomatic complexity of the method is 8
Complex Method,Microsoft.SPOT.Debugger,Engine,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Engine.cs,NotificationThreadWorker,Cyclomatic complexity of the method is 10
Complex Method,Microsoft.SPOT.Debugger,Engine,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Engine.cs,TryToConnect,Cyclomatic complexity of the method is 8
Complex Method,Microsoft.SPOT.Debugger,Engine,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Engine.cs,Deployment_Execute_Incremental,Cyclomatic complexity of the method is 20
Complex Method,Microsoft.SPOT.Debugger,Engine,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Engine.cs,Deployment_Execute_Full,Cyclomatic complexity of the method is 11
Complex Method,Microsoft.SPOT.Debugger,Request,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Engine.cs,Wait,Cyclomatic complexity of the method is 8
Complex Method,Microsoft.SPOT.Debugger,RebootTime,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\Engine.cs,RebootTime,Cyclomatic complexity of the method is 9
Complex Method,Microsoft.SPOT.Debugger,PlatformInfo,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\PlatformInfo.cs,OpenDeviceFrameworkKey,Cyclomatic complexity of the method is 13
Complex Method,Microsoft.SPOT.Debugger,PortBooter,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\PortBooter.cs,Program,Cyclomatic complexity of the method is 11
Complex Method,Microsoft.SPOT.Debugger,PortDefinition_Tcp,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\PortDefinition.cs,EnumeratePorts,Cyclomatic complexity of the method is 10
Complex Method,Microsoft.SPOT.Messaging,BinaryFormatter,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,AddType,Cyclomatic complexity of the method is 10
Complex Method,Microsoft.SPOT.Messaging,BinaryFormatter,C:\repos\xamarin_Monkey.Robotics\Source\Xamarin Studio Microframework Add-in\Add-In Project\Debugger\BinaryFormatter.cs,ComputeHashForField,Cyclomatic complexity of the method is 11
