Namespace,Type,Method,LOC,CC,PC
WhereIsMyMac,MainWindow,MainWindow,2,1,1
WhereIsMyMac,MainWindow,MainWindow,2,1,1
WhereIsMyMac,MainWindowController,MainWindowController,2,1,1
WhereIsMyMac,MainWindowController,MainWindowController,2,1,1
WhereIsMyMac,MainWindowController,MainWindowController,2,1,0
WhereIsMyMac,MainWindowController,AwakeFromNib,7,2,0
WhereIsMyMac,MainWindowController,OnAuthorizationChanged,5,1,2
WhereIsMyMac,MainWindowController,OnLocationsUpdated,16,1,2
WhereIsMyMac,MainWindowController,HandleLocationManagerFailed,3,1,2
WhereIsMyMac,MainWindowController,latitudeRangeForLocation,7,1,1
WhereIsMyMac,MainWindowController,longitudeRangeForLocation,4,1,1
WhereIsMyMac,MainWindowController,openInDefaultBrowser,15,2,1
WhereIsMyMac,MainWindowController,openInDefaultBrowser,0,1,1
WhereIsMyMac,MainClass,Main,4,1,1
WhereIsMyMac,AppDelegate,AppDelegate,2,1,0
WhereIsMyMac,AppDelegate,DidFinishLaunching,4,1,1
WhereIsMyMac,AppDelegate,ApplicationShouldTerminateAfterLastWindowClosed,3,1,1
