Implementation smell,Namespace,Class,File,Method,Description
Complex Method,CollectionViewTransition,APLTransitionController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLTransitionController.cs,HandlePinch,Cyclomatic complexity of the method is 9
Long Statement,CollectionViewTransition,APLTransitionController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLTransitionController.cs,InteractionBegan,The length of the statement  "			UIViewController viewController = ((APLCollectionViewController)navigationController.TopViewController).NextViewControllerAtPoint (point); " is 138.
Long Statement,CollectionViewTransition,APLTransitionController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLTransitionController.cs,HandlePinch,The length of the statement  "				CGPoint point1 = sender.LocationOfTouch (0' sender.View); // return the locations of each gesture’s touches in the local coordinate system of a given view " is 154.
Magic Number,CollectionViewTransition,APLCollectionViewCell,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLCollectionViewCell.cs,APLCollectionViewCell,The following statement contains a magic number: ImageView.Layer.BorderWidth = 3.0f;
Magic Number,CollectionViewTransition,APLStackCollectionViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLStackCollectionViewController.cs,NextViewControllerAtPoint,The following statement contains a magic number: UICollectionViewFlowLayout grid = new UICollectionViewFlowLayout () {  				ItemSize = new CGSize (75.0f' 75.0f)'  				SectionInset = new UIEdgeInsets (10.0f' 10.0f' 10.0f' 10.0f)  			};
Magic Number,CollectionViewTransition,APLStackCollectionViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLStackCollectionViewController.cs,NextViewControllerAtPoint,The following statement contains a magic number: UICollectionViewFlowLayout grid = new UICollectionViewFlowLayout () {  				ItemSize = new CGSize (75.0f' 75.0f)'  				SectionInset = new UIEdgeInsets (10.0f' 10.0f' 10.0f' 10.0f)  			};
Magic Number,CollectionViewTransition,APLStackCollectionViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLStackCollectionViewController.cs,NextViewControllerAtPoint,The following statement contains a magic number: UICollectionViewFlowLayout grid = new UICollectionViewFlowLayout () {  				ItemSize = new CGSize (75.0f' 75.0f)'  				SectionInset = new UIEdgeInsets (10.0f' 10.0f' 10.0f' 10.0f)  			};
Magic Number,CollectionViewTransition,APLStackCollectionViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLStackCollectionViewController.cs,NextViewControllerAtPoint,The following statement contains a magic number: UICollectionViewFlowLayout grid = new UICollectionViewFlowLayout () {  				ItemSize = new CGSize (75.0f' 75.0f)'  				SectionInset = new UIEdgeInsets (10.0f' 10.0f' 10.0f' 10.0f)  			};
Magic Number,CollectionViewTransition,APLStackCollectionViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLStackCollectionViewController.cs,NextViewControllerAtPoint,The following statement contains a magic number: UICollectionViewFlowLayout grid = new UICollectionViewFlowLayout () {  				ItemSize = new CGSize (75.0f' 75.0f)'  				SectionInset = new UIEdgeInsets (10.0f' 10.0f' 10.0f' 10.0f)  			};
Magic Number,CollectionViewTransition,APLStackCollectionViewController,D:\research\architectureSmells\repos\xamarin_monotouch-samples\CollectionViewTransition\CollectionViewTransition\APLStackCollectionViewController.cs,NextViewControllerAtPoint,The following statement contains a magic number: UICollectionViewFlowLayout grid = new UICollectionViewFlowLayout () {  				ItemSize = new CGSize (75.0f' 75.0f)'  				SectionInset = new UIEdgeInsets (10.0f' 10.0f' 10.0f' 10.0f)  			};
