Namespace,Type,Method,LOC,CC,PC
DynamicLaunchScreen,Application,Main,5,1,1
DynamicLaunchScreen,AppDelegate,OnResignActivation,2,1,1
DynamicLaunchScreen,AppDelegate,DidEnterBackground,2,1,1
DynamicLaunchScreen,AppDelegate,WillEnterForeground,2,1,1
DynamicLaunchScreen,AppDelegate,WillTerminate,2,1,1
DynamicLaunchScreen,DynamicLaunchScreenViewController,DynamicLaunchScreenViewController,2,1,1
DynamicLaunchScreen,DynamicLaunchScreenViewController,DidReceiveMemoryWarning,6,1,0
DynamicLaunchScreen,DynamicLaunchScreenViewController,ViewDidLoad,5,1,0
DynamicLaunchScreen,DynamicLaunchScreenViewController,ViewWillAppear,3,1,1
DynamicLaunchScreen,DynamicLaunchScreenViewController,ViewDidAppear,3,1,1
DynamicLaunchScreen,DynamicLaunchScreenViewController,ViewWillDisappear,3,1,1
DynamicLaunchScreen,DynamicLaunchScreenViewController,ViewDidDisappear,3,1,1
DynamicLaunchScreen,DynamicLaunchScreenViewController,ReleaseDesignerOutlets,2,1,0
