Implementation smell,Namespace,Class,File,Method,Description
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: double resolution = Device.OnPlatform(160' 160' 240);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: double resolution = Device.OnPlatform(160' 160' 240);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: double resolution = Device.OnPlatform(160' 160' 240);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: stackLayout.Children.Add(                  new BoxView                  {                      Color = Color.Accent'                      HeightRequest = resolution / 80                  });
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: int[] ptSizes = { 4' 6' 8' 10' 12 };
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: int[] ptSizes = { 4' 6' 8' 10' 12 };
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: int[] ptSizes = { 4' 6' 8' 10' 12 };
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: int[] ptSizes = { 4' 6' 8' 10' 12 };
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: int[] ptSizes = { 4' 6' 8' 10' 12 };
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: double fontSize = resolution * ptSize / 72;
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: this.Padding = new Thickness(5' Device.OnPlatform(20' 5' 5)' 5' 5);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: this.Padding = new Thickness(5' Device.OnPlatform(20' 5' 5)' 5' 5);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: this.Padding = new Thickness(5' Device.OnPlatform(20' 5' 5)' 5' 5);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: this.Padding = new Thickness(5' Device.OnPlatform(20' 5' 5)' 5' 5);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: this.Padding = new Thickness(5' Device.OnPlatform(20' 5' 5)' 5' 5);
Magic Number,FontSizes,FontSizesPage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-book-preview\Chapter05\FontSizes\FontSizes\FontSizes\FontSizesPage.cs,FontSizesPage,The following statement contains a magic number: this.Padding = new Thickness(5' Device.OnPlatform(20' 5' 5)' 5' 5);
