Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,IdentitySample,Startup,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\App_Start\Startup.Auth.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,IdentitySample,MvcApplication,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Global.asax.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,IdentitySample.Models,ExternalLoginConfirmationViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Email
Unnecessary Abstraction,IdentitySample.Models,ExternalLoginListViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ReturnUrl
Unutilized Abstraction,IdentitySample.Models,ExternalLoginListViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,IdentitySample.Models,SendCodeViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: SelectedProvider' Providers' ReturnUrl
Unnecessary Abstraction,IdentitySample.Models,VerifyCodeViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Provider' Code' ReturnUrl' RememberBrowser
Unnecessary Abstraction,IdentitySample.Models,ForgotViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Email
Unutilized Abstraction,IdentitySample.Models,ForgotViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,IdentitySample.Models,LoginViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Email' Password' RememberMe
Unnecessary Abstraction,IdentitySample.Models,RegisterViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Email' Password' ConfirmPassword
Unnecessary Abstraction,IdentitySample.Models,ResetPasswordViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Email' Password' ConfirmPassword' Code
Unnecessary Abstraction,IdentitySample.Models,ForgotPasswordViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AccountViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Email
Unnecessary Abstraction,IdentitySample.Models,RoleViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AdminViewModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' Name
Unnecessary Abstraction,IdentitySample.Models,EditUserViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\AdminViewModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Id' Email' RolesList
Unnecessary Abstraction,IdentitySample.Models,ApplicationRole,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\IdentityModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,IdentitySample.Models,IndexViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\ManageViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: HasPassword' Logins' PhoneNumber' TwoFactor' BrowserRemembered
Unnecessary Abstraction,IdentitySample.Models,ManageLoginsViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\ManageViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: CurrentLogins' OtherLogins
Unnecessary Abstraction,IdentitySample.Models,FactorViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\ManageViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Purpose
Unutilized Abstraction,IdentitySample.Models,FactorViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\ManageViewModels.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,IdentitySample.Models,SetPasswordViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\ManageViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: NewPassword' ConfirmPassword
Unnecessary Abstraction,IdentitySample.Models,ChangePasswordViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\ManageViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: OldPassword' NewPassword' ConfirmPassword
Unnecessary Abstraction,IdentitySample.Models,AddPhoneNumberViewModel,D:\research\architectureSmells\repos\xgluxv_dapper-for-AspnetIdentity\SampleSite\SampleSite\Models\ManageViewModels.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Number
