Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,RegisterMenuItem,The method has 8 parameters. Parameters: id' idCmdFirst' text' enabled' bitmap' subMenu' position' registerTo
Long Parameter List,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The method has 5 parameters. Parameters: hMenu' iMenu' idCmdFirst' idCmdLast' uFlags
Long Parameter List,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,GetCommandString,The method has 5 parameters. Parameters: idCmd' uFlags' pReserved' pszName' cchMax
Long Parameter List,LEContextMenuHandler,IContextMenu,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\ShellExtLib.cs,QueryContextMenu,The method has 5 parameters. Parameters: hMenu' iMenu' idCmdFirst' idCmdLast' uFlags
Long Parameter List,LEContextMenuHandler,IContextMenu,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\ShellExtLib.cs,GetCommandString,The method has 5 parameters. Parameters: idCmd' uFlags' pReserved' pszName' cchMax
Long Parameter List,LEContextMenuHandler,LEMenuItem,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\LEMenuItem.cs,LEMenuItem,The method has 5 parameters. Parameters: text' enabled' showInMainMenu' bitmap' commands
Empty Catch Block,LEContextMenuHandler,I18n,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\I18n.cs,LoadDictionary,The method has an empty catch block.
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,Initialize,The following statement contains a magic number: try              {                  // Get an HDROP handle.                  var hDrop = stm.unionmember;                  if (hDrop == IntPtr.Zero)                  {                      throw new ArgumentException();                  }                    // Determine how many files are involved in this operation.                  var nFiles = NativeMethods.DragQueryFile(hDrop' uint.MaxValue' null' 0);                    // This code sample displays the custom context menu item when only                   // one file is selected.                   if (nFiles == 1)                  {                      // Get the path of the file.                      var fileName = new StringBuilder(260);                      if (0 == NativeMethods.DragQueryFile(hDrop'                                                           0'                                                           fileName'                                                           fileName.Capacity))                      {                          Marshal.ThrowExceptionForHR(WinError.E_FAIL);                      }                        _selectedFile = fileName.ToString();                        // Check exe binary type                      var path = string.Empty;                      var ext = Path.GetExtension(_selectedFile).ToLower();                        if (ext == ".exe")                      {                          path = _selectedFile;                      }                      else                      {                          path = AssociationReader.HaveAssociatedProgram(ext)                                     ? AssociationReader.GetAssociatedProgram(ext)[0]                                     : string.Empty;                            if (SystemHelper.Is64BitOS())                          {                              path = SystemHelper.RedirectToWow64(path);                          }                      }                      // Do not display context menus for 64bit exe.                      switch (PEFileReader.GetPEType(path))                      {                          case PEType.Unknown:                          case PEType.X64:                              Marshal.ThrowExceptionForHR(WinError.E_FAIL);                              break;                          case PEType.X32:                              break;                      }                  }                  else                  {                      Marshal.ThrowExceptionForHR(WinError.E_FAIL);                  }              }              finally              {                  NativeMethods.ReleaseStgMedium(ref stm);              }
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: item = menuItems[2];
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: RegisterMenuItem(2' idCmdFirst' item.Text' true' item.Bitmap' IntPtr.Zero' 2' hSubMenu);
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: RegisterMenuItem(2' idCmdFirst' item.Text' true' item.Bitmap' IntPtr.Zero' 2' hSubMenu);
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: item = menuItems[3];
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: RegisterMenuItem(3' idCmdFirst' item.Text' true' item.Bitmap' IntPtr.Zero' 3' hSubMenu);
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: RegisterMenuItem(3' idCmdFirst' item.Text' true' item.Bitmap' IntPtr.Zero' 3' hSubMenu);
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: for (var i = menuItems.Count - 1; i > 3; i--)              {                  item = menuItems[i];                  if (item.ShowInMainMenu == true)                  {                      RegisterMenuItem((uint)i' idCmdFirst' item.Text' item.Enabled' item.Bitmap' IntPtr.Zero' 1' hMenu);                  }                  else                  {                      RegisterMenuItem((uint)i' idCmdFirst' item.Text' item.Enabled' item.Bitmap' IntPtr.Zero' 0' hSubMenu);                  }              }
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: NativeMethods.InsertMenuItem(hSubMenu'                                           (uint)menuItems.FindAll(t => t.ShowInMainMenu != true).Count - 4'                                           true'                                           ref sep);
Magic Number,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,QueryContextMenu,The following statement contains a magic number: return WinError.MAKE_HRESULT(WinError.SEVERITY_SUCCESS' 0' 3 + (uint)menuItems.Count);
Magic Number,LEContextMenuHandler,NativeMethods,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\NativeMethods.cs,HighWord,The following statement contains a magic number: return (number & 0x80000000) == 0x80000000                         ? number >> 16                         : (number >> 16) & 0xffff;
Magic Number,LEContextMenuHandler,NativeMethods,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\NativeMethods.cs,HighWord,The following statement contains a magic number: return (number & 0x80000000) == 0x80000000                         ? number >> 16                         : (number >> 16) & 0xffff;
Magic Number,LEContextMenuHandler,WinError,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\WinError.cs,MAKE_HRESULT,The following statement contains a magic number: return (int)((sev << 31) | (fac << 16) | code);
Magic Number,LEContextMenuHandler,WinError,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\WinError.cs,MAKE_HRESULT,The following statement contains a magic number: return (int)((sev << 31) | (fac << 16) | code);
Missing Default,LEContextMenuHandler,FileContextMenuExt,C:\repos\xupefei_Locale-Emulator\LEContextMenuHandler\FileContextMenuExt.cs,Initialize,The following switch statement is missing a default case: switch (PEFileReader.GetPEType(path))                      {                          case PEType.Unknown:                          case PEType.X64:                              Marshal.ThrowExceptionForHR(WinError.E_FAIL);                              break;                          case PEType.X32:                              break;                      }
