Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Endpoints,IActorEndpoint,0,4,0,0,0,7,4,0,0,-1,1,0,Orleankka.Core.RequestEnvelope,
Endpoints,IA0,0,0,0,0,0,2,0,0,0,-1,0,0,,
Endpoints,IA1,0,0,0,0,0,2,0,0,0,-1,0,0,,
Endpoints,IA2,0,0,0,0,0,2,0,0,0,-1,0,0,,
Endpoints,IW,0,0,0,0,0,2,0,0,0,-1,0,0,,
Orleankka.Core,IActorEndpoint,0,4,0,0,0,7,4,0,0,-1,1,0,Orleankka.Core.RequestEnvelope,
Orleankka.Core,IA0,0,0,0,0,0,2,0,0,0,-1,0,0,,
Orleankka.Core,IA1,0,0,0,0,0,2,0,0,0,-1,0,0,,
Orleankka.Core,IA2,0,0,0,0,0,2,0,0,0,-1,0,0,,
Orleankka.Core,IW,0,0,0,0,0,2,0,0,0,-1,0,0,,
Orleankka.Core,IMessageSerializer,0,3,0,0,0,12,3,2,0,-1,0,10,,Orleankka.ActorSystemConfigurator' Orleankka.Core.MessageEnvelope' Orleankka.Core.NotificationEnvelope' Orleankka.Core.RequestEnvelope' Orleankka.Core.ResponseEnvelope' Orleankka.TestKit.StreamRefMock' Orleankka.TestKit.ActorRefMock' Orleankka.TestKit.ActorRuntimeMock' Orleankka.TestKit.OrleansSerialization' Orleankka.TestKit.ActorSystemMock
Orleankka.Core,MessageSerializer<TProperties>,0,4,0,0,3,10,4,0,1,-1,0,0,,
Orleankka.Core,MessageSerializer,0,1,0,0,1,4,1,2,0,-1,0,0,,
Orleankka.Core,BinarySerializer,0,2,0,0,2,23,2,0,1,-1,0,0,,
Orleankka.Core,NativeSerializer,0,2,0,0,2,11,2,0,1,-1,0,0,,
Orleankka.Core,MessageEnvelope,1,2,0,0,0,12,2,0,0,0,1,5,Orleankka.Core.IMessageSerializer,Orleankka.ActorSystemConfigurator' Orleankka.Core.NotificationEnvelope' Orleankka.Core.RequestEnvelope' Orleankka.Core.ResponseEnvelope' Orleankka.TestKit.ActorSystemMock
Orleankka.Core,NotificationEnvelope,1,4,0,1,0,25,4,0,0,0.75,2,2,Orleankka.Core.IMessageSerializer' Orleankka.Core.MessageEnvelope,Orleankka.Core.ClientEndpoint' Orleankka.Core.IClientEndpoint
Orleankka.Core,RequestEnvelope,2,4,0,2,0,29,4,0,0,0.75,2,4,Orleankka.Core.IMessageSerializer' Orleankka.Core.MessageEnvelope,Orleankka.Core.ActorEndpoint' Endpoints.ActorEndpoint' Endpoints.IActorEndpoint' Orleankka.Core.IActorEndpoint
Orleankka.Core,ResponseEnvelope,1,4,0,1,0,41,7,0,0,0.75,3,3,Orleankka.Core.ResultToken' Orleankka.Core.IMessageSerializer' Orleankka.Core.MessageEnvelope,Orleankka.ActorRef' Orleankka.Core.ActorEndpoint' Endpoints.ActorEndpoint
Orleankka.Core,ResultToken,2,0,0,2,0,5,0,0,0,-1,0,1,,Orleankka.Core.ResponseEnvelope
Orleankka.Core,IClientEndpoint,0,1,0,0,0,4,1,1,0,-1,1,2,Orleankka.Core.NotificationEnvelope,Orleankka.ClientRef' Orleankka.Core.ClientEndpoint
