Method,LOC,CC,PC
AsyncResult:AsyncResult,9,2,3
AsyncResult:Complete,11,3,1
AsyncResult:OnError,8,1,2
AsyncResult:WaitForCompletion,7,2,0
AsyncResult:Finish,25,3,0
AsyncResult:Verify,21,5,2
MessageAsyncResult:MessageAsyncResult,3,1,4
DynamicRpcProxy:DynamicRpcProxy,8,2,1
DynamicRpcProxy:DynamicRpcProxy,1,1,1
DynamicRpcProxy:DynamicRpcProxy,1,1,2
DynamicRpcProxy:DynamicRpcProxy,1,1,2
DynamicRpcProxy:DynamicRpcProxy,1,1,3
DynamicRpcProxy:Dispose,3,1,0
DynamicRpcProxy:TryInvokeMember,46,5,3
ErrorInterpreter:UnpackError,73,6,1
FileSystem:EscapeInvalidPathChars,11,2,2
NotificationMessageAsyncResult:OnCompleted,15,3,2
NotificationMessageAsyncResult:NotificationMessageAsyncResult,1,1,3
RequestMessageAsyncResult:OnCompleted,24,3,3
RequestMessageAsyncResult:RequestMessageAsyncResult,1,1,4
ResultHolder:ResultHolder,3,1,1
RpcClient:NextId,3,1,0
RpcClient:EnsureConnected,9,2,0
RpcClient:RpcClient,1,1,1
RpcClient:RpcClient,1,1,2
RpcClient:RpcClient,1,1,2
RpcClient:RpcClient,11,2,3
RpcClient:Dispose,9,2,0
RpcClient:VerifyIsNotDisposed,6,2,0
RpcClient:Shutdown,9,1,0
RpcClient:ShutdownAsync,15,3,0
RpcClient:OnTranportShutdownComplete,9,2,2
RpcClient:Call,3,1,2
RpcClient:CallAsync,3,1,3
RpcClient:BeginCall,41,2,4
RpcClient:EndCall,9,1,1
RpcClient:Notify,3,1,2
RpcClient:NotifyAsync,3,1,3
RpcClient:BeginNotify,40,2,4
RpcClient:EndNotify,6,1,1
RpcClientConfiguration:RpcClientConfiguration,1,1,0
RpcClientConfiguration:CreateTransportPoolConfiguration,4,1,0
RpcClientConfiguration:CreateRequestContextPoolConfiguration,4,1,0
RpcClientConfiguration:CreateResponseContextPoolConfiguration,4,1,0
RpcClientConfiguration:Clone,6,1,0
RpcClientConfiguration:Freeze,5,1,0
RpcClientConfiguration:AsFrozen,7,1,0
RpcClientConfiguration:CloneCore,5,1,0
RpcClientConfiguration:FreezeCore,5,1,0
RpcClientConfiguration:ResetPreferIPv4,3,1,0
RpcClientConfiguration:CoercePreferIPv4Value,0,1,1
RpcClientConfiguration:ResetMinimumConcurrentRequest,3,1,0
RpcClientConfiguration:CoerceMinimumConcurrentRequestValue,0,1,1
RpcClientConfiguration:ResetMaximumConcurrentRequest,3,1,0
RpcClientConfiguration:CoerceMaximumConcurrentRequestValue,0,1,1
RpcClientConfiguration:ResetConnectTimeout,3,1,0
RpcClientConfiguration:CoerceConnectTimeoutValue,0,1,1
RpcClientConfiguration:ResetWaitTimeout,3,1,0
RpcClientConfiguration:CoerceWaitTimeoutValue,0,1,1
RpcClientConfiguration:ResetTransportManagerProvider,3,1,0
RpcClientConfiguration:CoerceTransportManagerProviderValue,0,1,1
RpcClientConfiguration:ResetInitialMethodNameBufferLength,3,1,0
RpcClientConfiguration:CoerceInitialMethodNameBufferLengthValue,0,1,1
RpcClientConfiguration:ResetInitialArgumentsBufferLength,3,1,0
RpcClientConfiguration:CoerceInitialArgumentsBufferLengthValue,0,1,1
RpcClientConfiguration:ResetInitialReceiveBufferLength,3,1,0
RpcClientConfiguration:CoerceInitialReceiveBufferLengthValue,0,1,1
RpcClientConfiguration:ResetDumpCorruptResponse,3,1,0
RpcClientConfiguration:CoerceDumpCorruptResponseValue,0,1,1
RpcClientConfiguration:ResetCorruptResponseDumpOutputDirectory,3,1,0
RpcClientConfiguration:CoerceCorruptResponseDumpOutputDirectoryValue,0,1,1
RpcClientConfiguration:ResetRequestContextPoolProvider,3,1,0
RpcClientConfiguration:CoerceRequestContextPoolProviderValue,0,1,1
RpcClientConfiguration:ResetResponseContextPoolProvider,3,1,0
RpcClientConfiguration:CoerceResponseContextPoolProviderValue,0,1,1
RpcClientConfiguration:ResetTcpTransportPoolProvider,3,1,0
RpcClientConfiguration:CoerceTcpTransportPoolProviderValue,0,1,1
RpcClientConfiguration:ResetUdpTransportPoolProvider,3,1,0
RpcClientConfiguration:CoerceUdpTransportPoolProviderValue,0,1,1
RpcClientConfiguration:ToString,50,1,0
