Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Journaley.Controls,ColorButton,7,13,13,0,4,378,19,0,1,0.46,0,3,,Journaley.Forms.WelcomeFormLastScreen' Journaley.Forms.WelcomeForm' Journaley.Forms.SettingsForm
Journaley.Controls,BorderPanel,1,3,2,0,1,86,4,0,0,1,2,7,Journaley.Utilities.WindowsMessages' Journaley.Utilities.PInvoke,Journaley.Forms.BaseJournaleyForm' Journaley.Forms.PhotoDisplayForm' Journaley.Forms.WelcomeFormLastScreen' Journaley.Forms.WelcomeForm' Journaley.Forms.MainForm' Journaley.Forms.PasswordInputForm' Journaley.Forms.SettingsForm
Journaley.Controls,EnterTextBox,0,1,0,0,0,19,2,0,0,-1,0,1,,Journaley.Forms.SettingsForm
Journaley.Controls,ISelectable,0,0,1,0,0,10,0,2,0,-1,0,1,,Journaley.Forms.SettingsForm
Journaley.Controls,MouseFallThroughPictureBox,0,1,0,0,0,19,2,0,0,-1,3,2,Journaley.Utilities.WindowsMessages' Journaley.Utilities.PInvoke' Journaley.Utilities.HitTestValues,Journaley.Forms.WelcomeFormLastScreen' Journaley.Forms.WelcomeForm
Journaley.Controls,PaddingBorderPanel,0,4,1,0,1,71,5,0,0,-1,2,7,Journaley.Utilities.WindowsMessages' Journaley.Utilities.PInvoke,Journaley.Forms.BaseJournaleyForm' Journaley.Forms.PhotoDisplayForm' Journaley.Forms.WelcomeFormLastScreen' Journaley.Forms.WelcomeForm' Journaley.Forms.MainForm' Journaley.Forms.PasswordInputForm' Journaley.Forms.SettingsForm
Journaley.Controls,EntryListAreaPanel,0,2,0,0,1,26,2,0,0,-1,0,1,,Journaley.Forms.MainForm
Journaley.Controls,EntryPhotoArea,14,14,22,0,1,689,24,0,0,0.5,0,1,,Journaley.Forms.MainForm
Journaley.Controls,FixedWidthPictureBox,0,4,1,0,1,60,5,0,0,-1,0,0,,
Journaley.Controls,IEntryTextProvider,0,1,0,0,0,11,1,1,0,-1,1,1,Journaley.Core.Models.Entry,Journaley.Controls.EntryListBox
Journaley.Controls,ImageButton,7,9,12,0,4,319,14,0,1,0.22,0,7,,Journaley.Forms.BaseJournaleyForm' Journaley.Forms.PhotoDisplayForm' Journaley.Forms.WelcomeFormLastScreen' Journaley.Forms.WelcomeForm' Journaley.Forms.MainForm' Journaley.Forms.PasswordInputForm' Journaley.Forms.SettingsForm
Journaley.Controls,MouseFallThroughLabel,0,1,0,0,0,20,2,1,0,-1,3,2,Journaley.Utilities.WindowsMessages' Journaley.Utilities.PInvoke' Journaley.Utilities.HitTestValues,Journaley.Controls.TitleLabel' Journaley.Forms.MainForm
Journaley.Controls,SpellCheckedTextBox,1,4,8,0,4,254,5,0,0,0,0,1,,Journaley.Forms.MainForm
